scenario,training_seed,evaluation_episode,evaluation_seed,robot_random_seed,robot_id,nominal_start_x,nominal_start_y,nominal_start_yaw,realized_start_x,realized_start_y,realized_start_yaw,fixed_goal_x,fixed_goal_y,euclidean_distance_m,astar_path_length_m,astar_waypoint_count,planner_name,planner_config_hash
static_clutter,0,7,7,7000028,robot_1,-5.0,-4.0,0.6747,-5.014709664784337,-3.9883700412859135,0.7704897946784398,5.0,4.0,12.810482644554776,20.662310562561768,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,7,7,7000028,robot_2,-5.0,4.0,-0.6747,-5.000947924510945,3.9604271169156697,-0.7586132730903148,5.0,-4.0,12.782306492668141,22.0003776456267,31,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,7,7,7000028,robot_3,5.0,-4.0,2.4669,5.013978684800769,-4.026097241103682,2.4957412901197022,-5.0,4.0,12.83347209539555,21.935674931802915,26,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,7,7,7000028,robot_4,5.0,4.0,-2.4669,5.026798853334204,4.002719513874097,-2.332293838720199,-5.0,-4.0,12.828882058190626,20.852319033204637,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,8,8,8000032,robot_1,-5.0,-4.0,0.6747,-4.966199284757678,-3.9593245579523724,0.6965364968321892,5.0,4.0,12.754449247314765,20.662310562561768,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,8,8,8000032,robot_2,-5.0,4.0,-0.6747,-4.950805237752676,4.049727825736119,-0.6364912135689688,5.0,-4.0,12.799087582641056,21.5003776456267,30,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,8,8,8000032,robot_3,5.0,-4.0,2.4669,5.029834995211945,-3.995379111854172,2.34651320898867,-5.0,4.0,12.826678337490662,21.435674931802915,25,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,8,8,8000032,robot_4,5.0,4.0,-2.4669,5.024161277930131,4.040382833288309,-2.5285404190571503,-5.0,-4.0,12.85035273569528,20.852319033204637,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,9,9,9000036,robot_1,-5.0,-4.0,0.6747,-4.995733756309973,-3.979450706385327,0.5465894912035814,5.0,4.0,12.790087056102003,20.662310562561768,24,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
static_clutter,0,9,9,9000036,robot_2,-5.0,4.0,-0.6747,-5.044746248206235,3.98178197832626,-0.7995518189983466,5.0,-4.0,12.829878048539163,21.7503776456267,30,mrpp_rl.waypoints.build_scenario_waypoint_manager,bd4a04b010d8ca4424deff6cbffb3fd724c0fbfdd41818d1b09d190db83bafaa
