record_type,t,robot_id,x,y,vx,vy,omega,pair_i,pair_j,relative_distance,relative_velocity_x,relative_velocity_y,relative_velocity,tau_cpa,d_cpa,edge_active,gate_value,priority_state,residual_vx,residual_vy,residual_omega
robot,23.8,robot_3,1.8702601658615448,-2.2380442340727518,0.032427259379283396,-0.019925325678434823,0.008976430175826368,,,,,,,,,,0.0,proceed,0.004763274919241667,-0.0,0.0
robot,23.8,robot_4,-1.1489589413355976,-1.3219484045708232,0.06965484942991342,-3.6915008592911574e-05,-0.00013220996473980434,,,,,,,,,,0.0,proceed,0.004053002689033747,-0.0,0.0
pair,23.8,,,,,,,robot_1,robot_2,3.155172849566949,-0.08450258578891898,0.9686874196343882,0.9723661882042911,3.071887943586189,1.0163399471133574,1,,,,,
pair,23.8,,,,,,,robot_1,robot_3,3.6818204969739523,-0.5905053627282951,-0.10893444704442379,0.6004692308218214,-1.0474665927137787,3.62769859213814,0,,,,,
pair,23.8,,,,,,,robot_1,robot_4,4.065251258957038,-0.27007118818756976,0.9978627482329598,1.0337642434327476,1.8292746965214766,3.598644211181757,0,,,,,
pair,23.8,,,,,,,robot_2,robot_3,1.0047210937086242,-0.5060027769393761,-1.077621866678812,1.1905073279130571,-0.18663269812268188,0.9798454719420142,0,,,,,
pair,23.8,,,,,,,robot_2,robot_4,2.246640466896557,-0.18556860239865078,0.029175328598571637,0.1878480928703381,-11.956803060032696,0.0509504891540445,0,,,,,
pair,23.8,,,,,,,robot_3,robot_4,3.155141135685555,0.32043417454072537,1.1067971952773836,1.1522491447978944,-0.035001942576815055,3.154883357572771,0,,,,,
robot,23.900000000000002,robot_1,1.8455195431387785,1.411625680028107,0.05207330588925401,-0.014410603136217757,-0.08680032622519382,,,,,,,,,,1.0,proceed,-2.2939530026633292e-06,-0.0011737056775018573,0.0006884471513330936
robot,23.900000000000002,robot_2,1.0976957194643677,-1.562307204301728,0.09512290401916203,0.001978434193195929,0.007062834970107008,,,,,,,,,,1.0,proceed,-0.0002735355810727924,-0.001275773043744266,0.002589818090200424
robot,23.900000000000002,robot_3,1.8386465494846096,-2.2500771871443797,0.045812591470898806,-0.03123949605117563,0.017828230188815238,,,,,,,,,,0.0,proceed,0.004444547463208437,-0.0,0.0
robot,23.900000000000002,robot_4,-1.149024981207743,-1.2640287043062168,0.0898606395675796,-4.45634114700972e-05,-0.00016068117544843521,,,,,,,,,,0.0,proceed,0.004029528237879276,-0.0,0.0
pair,23.900000000000002,,,,,,,robot_1,robot_2,3.0665154934800816,-0.0841749130955124,0.9621845339957723,0.9658594584385963,2.999861441269799,1.0041575416689972,1,,,,,
pair,23.900000000000002,,,,,,,robot_1,robot_3,3.661709317450114,-0.5587474034578704,-0.1302662514811761,0.5737316072397173,-1.460763611597843,3.564509300761966,0,,,,,
pair,23.900000000000002,,,,,,,robot_1,robot_4,4.015771817808032,-0.25516917219328183,0.9868616015629849,1.0193169904780672,1.8059405702615863,3.5690031202834818,0,,,,,
pair,23.900000000000002,,,,,,,robot_2,robot_3,1.0109578041674472,-0.47457249036235805,-1.0924507854769483,1.1910784051849532,-0.2817572842346922,0.9536307810342227,0,,,,,
pair,23.900000000000002,,,,,,,robot_2,robot_4,2.266434197233212,-0.17099425909776944,0.02467706756721255,0.172765720871103,-13.117698169852435,0.02569125056310132,0,,,,,
pair,23.900000000000002,,,,,,,robot_3,robot_4,3.146183844885265,0.3035782312645886,1.117127853044161,1.1576417332425402,-0.14517214711995194,3.14169214240194,0,,,,,
robot,24.0,robot_1,1.857994418468159,1.3846310607021974,0.046756338667147554,-0.010829117432567672,-0.05965695785622031,,,,,,,,,,1.0,proceed,0.00012122243060730398,-0.0011869692243635654,0.000775810971390456
robot,24.0,robot_2,1.1143990606906948,-1.5106522971256924,0.08991138664370611,0.0031656720257028335,0.011247205370527986,,,,,,,,,,1.0,proceed,-0.0003072353720199317,-0.0012219023192301393,0.002656388795003295
robot,24.0,robot_3,1.8072810889065527,-2.2610938615936655,0.046166994570809326,-0.0331905985709246,0.021798710300630877,,,,,,,,,,0.0,proceed,0.004445874597877264,-0.0,0.0
robot,24.0,robot_4,-1.1490805354543365,-1.2125347136334013,0.08557236954992561,-3.945502962497791e-05,-0.00014341524361194196,,,,,,,,,,0.0,proceed,0.004029443953186274,-0.0,0.0
pair,24.0,,,,,,,robot_1,robot_2,2.9892473598254354,-0.08165070096166585,0.9471971687693505,0.9507098997550224,2.9669648215629847,0.9895061926761738,1,,,,,
pair,24.0,,,,,,,robot_1,robot_3,3.646077625455114,-0.5311961971492769,-0.1566857074852409,0.5538229056259807,-1.9502219794737785,3.4824293850300023,0,,,,,
pair,24.0,,,,,,,robot_1,robot_4,3.973382669450327,-0.21720769079805333,0.968509519460882,0.9925673126937897,1.8902142881681878,3.5025383715633365,0,,,,,
pair,24.0,,,,,,,robot_2,robot_3,1.0213951471911642,-0.44954549618761097,-1.1038828762545914,1.1919096264527251,-0.3638602909182752,0.9247498360684777,0,,,,,
pair,24.0,,,,,,,robot_2,robot_4,2.2830273707847124,-0.13555698983638748,0.02131235069153159,0.13722213300157263,-16.632262402462434,0.05704727458628402,0,,,,,
pair,24.0,,,,,,,robot_3,robot_4,3.136805754388517,0.31398850635122355,1.125195226946123,1.1681836674354806,-0.18434734901953012,3.129404742981841,0,,,,,
robot,24.1,robot_1,1.8711777050060876,1.3555044170243697,0.043792681386057575,-0.009380975007018153,-0.03725043267769626,,,,,,,,,,1.0,proceed,0.00016111970762722194,-0.0012709135189652443,0.0007670248742215335
robot,24.1,robot_2,1.132075508689899,-1.450568561170644,0.09023091639583032,0.005116182415213166,0.01784260901617848,,,,,,,,,,1.0,yield,-0.0003350894257891923,-0.0011968922335654497,0.002723532263189554
robot,24.1,robot_3,1.769323152748622,-2.274570135983457,0.04760945407039352,-0.034370564780895334,0.028997536458005988,,,,,,,,,,0.0,proceed,0.004086799453943968,-0.0,0.0
robot,24.1,robot_4,-1.1491407989422529,-1.1526421921561478,0.08670630762017381,-3.8946476467371284e-05,-0.00013971516246824377,,,,,,,,,,0.0,proceed,0.004026073031127453,-0.0,0.0
pair,24.1,,,,,,,robot_1,robot_2,2.9017783539677264,-0.011370704408179555,1.1593444552820875,1.1594002151595706,2.413911360777469,0.7665869368900341,1,,,,,
pair,24.1,,,,,,,robot_1,robot_3,3.6315032163293677,-0.43039093530473216,0.04231839954460692,0.43246641965879745,0.5869823580423391,3.622620005892854,0,,,,,
pair,24.1,,,,,,,robot_1,robot_4,3.925955078504652,-0.08592460273481455,1.1735108469478304,1.176652346812494,1.938459194494477,3.1954111482465666,0,,,,,
pair,24.1,,,,,,,robot_2,robot_3,1.0416636478021055,-0.4190202308965526,-1.1170260557374805,1.1930319204015596,-0.4590739987067266,0.8860580630167044,0,,,,,
pair,24.1,,,,,,,robot_2,robot_4,2.3005886124122736,-0.07455389832663499,0.01416639166574285,0.0758878805114852,-30.264803936700194,0.13315738159714674,0,,,,,
pair,24.1,,,,,,,robot_3,robot_4,3.1266842099034706,0.3444663325699176,1.1311924474032233,1.1824776561678716,-0.18866669019185422,3.1187149838758907,0,,,,,
robot,24.200000000000003,robot_1,1.8818075103846688,1.331792137076327,0.04190077989915644,-0.0079977804376038,-0.0253604823437884,,,,,,,,,,1.0,proceed,0.0002592842502053827,-0.0012912862002849579,0.0008248690865002573
robot,24.200000000000003,robot_2,1.1459800498058552,-1.397949286919183,0.09118504078474722,0.006229424788923979,0.021855029819442935,,,,,,,,,,1.0,yield,-0.0003841806610580534,-0.0011396585032343864,0.002771479543298483
robot,24.200000000000003,robot_3,1.735811515330137,-2.2873162755178558,0.049333354151371155,-0.03519049398891384,0.03491750140860913,,,,,,,,,,0.0,proceed,0.004122743848711252,-0.0,0.0
robot,24.200000000000003,robot_4,-1.147808117881738,-1.1014739544165224,0.08484240872864843,-0.0035701857657210014,-0.013382097752611854,,,,,,,,,,0.0,proceed,0.004072714131325483,-0.0,0.0
pair,24.200000000000003,,,,,,,robot_1,robot_2,2.8271770891861197,-0.013683740521292315,1.1634245571359574,1.1635050257311537,2.338536284643283,0.767880491300088,1,,,,,
pair,24.200000000000003,,,,,,,robot_1,robot_3,3.6220519781861147,-0.4057586952692644,0.03550784576255228,0.4073093736919308,0.4175238834252146,3.6180574423047593,0,,,,,
pair,24.200000000000003,,,,,,,robot_1,robot_4,3.8857888165782946,-0.033798493315456396,1.1678872372042077,1.1683761966827604,2.006723372441418,3.098736660241833,0,,,,,
pair,24.200000000000003,,,,,,,robot_2,robot_3,1.0671807710653307,-0.39207495474797205,-1.1279167113734052,1.1941184522215633,-0.5413167297056807,0.849144644554684,0,,,,,
pair,24.200000000000003,,,,,,,robot_2,robot_4,2.312868734062997,-0.02011475279416408,0.0044626800682503465,0.020603853847324063,-111.8020150213749,0.20738424692447702,0,,,,,
pair,24.200000000000003,,,,,,,robot_3,robot_4,3.1179294731536165,0.37196020195380797,1.1323793914416556,1.1919049785948928,-0.19021859480126146,3.109675402998421,0,,,,,
robot,24.3,robot_1,1.8919326625214654,1.29981961723521,0.05900997817617782,-0.02456404012672272,-0.046416437865795794,,,,,,,,,,1.0,proceed,0.00038411980494856834,-0.0013219983084127307,0.0008878123480826616
