checkpoint_key,experiment_group,method_or_variant,scenario,training_seed,training_episodes,validation_points,selected_training_episode,checkpoint_relative_path,checkpoint_sha256,source_commit,config_sha256,selection_score_text,release_in_public_repo
main__mixed_complex__IPPO__seed6,main,IPPO,mixed_complex,6,100,20,85,checkpoints/IPPO/mixed_complex/seed6_ep85.pt,95a32e5132dcbe1c08750d056b0be52db1d5bb2ac142815c58c42064ba807fdd,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=40.19",no
main__mixed_complex__IPPO__seed7,main,IPPO,mixed_complex,7,100,20,100,checkpoints/IPPO/mixed_complex/seed7_ep100.pt,91f906bcfcc33f0f6bf1ea48306af9c328fe32521dd39676cdf7fa55ff254b0f,10bd6134d1956b59ae9f946801ced612b270f924,01bfa59f2db51d08661fdc0015eecf3c3d46ee084fd5d09ac0d955a2d1e713c7,"completed=4,collision=0,timeout=0,deadlock=0,completion=39.37",no
main__static_clutter__MAPPO__seed0,main,MAPPO,static_clutter,0,100,20,70,checkpoints/MAPPO/static_clutter/seed0_ep70.pt,ec1c383b4649fd531346da64525d395fd2beca8789ffa7fbd7a970cde43fc117,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=31.60",no
main__static_clutter__MAPPO__seed1,main,MAPPO,static_clutter,1,100,20,85,checkpoints/MAPPO/static_clutter/seed1_ep85.pt,321f4caa0245b40b17f57578eafff31f67d31111f5f6185b74e7150ac54a2c09,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.53",no
main__static_clutter__MAPPO__seed2,main,MAPPO,static_clutter,2,100,20,100,checkpoints/MAPPO/static_clutter/seed2_ep100.pt,6a0bd037f8697b5eeac73779131a2229fbd81cd7b7caaf3ba8127a7e59942fe5,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.99",no
main__static_clutter__MAPPO__seed3,main,MAPPO,static_clutter,3,100,20,100,checkpoints/MAPPO/static_clutter/seed3_ep100.pt,719530eb98e793eb5a65cd49772fe7dffecf6aae016fcf70507b708c346a2fe1,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=30.82",no
main__static_clutter__MAPPO__seed4,main,MAPPO,static_clutter,4,100,20,85,checkpoints/MAPPO/static_clutter/seed4_ep85.pt,840482c27686e25edc4533601879d72af9f5e2173bf0e8e5130a49ebff58043b,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.94",no
main__static_clutter__MAPPO__seed5,main,MAPPO,static_clutter,5,100,20,95,checkpoints/MAPPO/static_clutter/seed5_ep95.pt,a3c26d6f95db7d9cd8142bb14d4501f05c5894c92a3ea977c6fa12033aa48b39,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=30.70",no
main__static_clutter__MAPPO__seed6,main,MAPPO,static_clutter,6,100,20,90,checkpoints/MAPPO/static_clutter/seed6_ep90.pt,4ef9ed257bf9b92f926da310e13a03f687b3473a94b0db93bf5c23291c5be255,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.58",no
main__static_clutter__MAPPO__seed7,main,MAPPO,static_clutter,7,100,20,85,checkpoints/MAPPO/static_clutter/seed7_ep85.pt,299d06ba45073c5edd950efbcf8b612a5df29b4d69460f2285caf150fe46db37,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=30.92",no
main__dynamic_pedestrians__MAPPO__seed0,main,MAPPO,dynamic_pedestrians,0,100,20,95,checkpoints/MAPPO/dynamic_pedestrians/seed0_ep95.pt,ff4a2fa76f06790ca78040ecf4d7df38359d529c0be7e7e0347d0da47c594728,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.93",no
main__dynamic_pedestrians__MAPPO__seed1,main,MAPPO,dynamic_pedestrians,1,100,20,100,checkpoints/MAPPO/dynamic_pedestrians/seed1_ep100.pt,0f00ce21cc6b271e6e5b8f78ff900dbf7ea8424224e5079bbbd35108c07b5b9b,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.41",no
main__dynamic_pedestrians__MAPPO__seed2,main,MAPPO,dynamic_pedestrians,2,100,20,80,checkpoints/MAPPO/dynamic_pedestrians/seed2_ep80.pt,ed04c8a5e8d6d1e7298bb5d8677fb0d9ce116f77e5bb0771f4beb4edac29f640,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.49",no
main__dynamic_pedestrians__MAPPO__seed3,main,MAPPO,dynamic_pedestrians,3,100,20,95,checkpoints/MAPPO/dynamic_pedestrians/seed3_ep95.pt,c49bd02165e78b3faef62928782ceb9d78ec7c0c032be83b0beff632a8ded4e7,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.90",no
main__dynamic_pedestrians__MAPPO__seed4,main,MAPPO,dynamic_pedestrians,4,100,20,75,checkpoints/MAPPO/dynamic_pedestrians/seed4_ep75.pt,851644064e0971fda7cfd8bb07c9fdb625dea9bdb6bde0d0b96a36619ad97e43,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=27.57",no
main__dynamic_pedestrians__MAPPO__seed5,main,MAPPO,dynamic_pedestrians,5,100,20,80,checkpoints/MAPPO/dynamic_pedestrians/seed5_ep80.pt,16bb3ca5765ef85894c0d249a7d137fba179a84e8f8926c4419573ffacb58c56,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.72",no
main__dynamic_pedestrians__MAPPO__seed6,main,MAPPO,dynamic_pedestrians,6,100,20,100,checkpoints/MAPPO/dynamic_pedestrians/seed6_ep100.pt,b56d990f86e127ab112ddac2fb337b251ae17f5ad76b8178586de0d9fb632c9d,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.90",no
main__dynamic_pedestrians__MAPPO__seed7,main,MAPPO,dynamic_pedestrians,7,100,20,80,checkpoints/MAPPO/dynamic_pedestrians/seed7_ep80.pt,4607c21b2eb4a7a8f399ce755480a47d973b10f48a6daa24eba74568f388c86d,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=27.24",no
main__mixed_complex__MAPPO__seed0,main,MAPPO,mixed_complex,0,100,20,100,checkpoints/MAPPO/mixed_complex/seed0_ep100.pt,0ca502417fc7ce8cc715ac05c7cd72fcb2ab4cb604afa783f55aae11b03dfdbc,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=39.80",no
main__mixed_complex__MAPPO__seed1,main,MAPPO,mixed_complex,1,100,20,85,checkpoints/MAPPO/mixed_complex/seed1_ep85.pt,9bb98e4f7d842e98fa4b512044747bc0b4c47124b2236f646416b2580d4dfee9,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=39.76",no
main__mixed_complex__MAPPO__seed2,main,MAPPO,mixed_complex,2,100,20,85,checkpoints/MAPPO/mixed_complex/seed2_ep85.pt,37a60b6c598a8fb52ef0630130a0ff25612e37a333346153c086f87037cb7f26,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=40.05",no
main__mixed_complex__MAPPO__seed3,main,MAPPO,mixed_complex,3,100,20,90,checkpoints/MAPPO/mixed_complex/seed3_ep90.pt,c45a8e9f7fbaccddb1f1ca519e29fef66b0e7446efa6c7104be796e719d0f8ce,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=40.93",no
main__mixed_complex__MAPPO__seed4,main,MAPPO,mixed_complex,4,100,20,90,checkpoints/MAPPO/mixed_complex/seed4_ep90.pt,e636f42911fd38bd9840b30fc3b2209eac23d4212d0409ef97cf77ff3e60b89e,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=39.58",no
main__mixed_complex__MAPPO__seed5,main,MAPPO,mixed_complex,5,100,20,80,checkpoints/MAPPO/mixed_complex/seed5_ep80.pt,e6a2846538f683858547fe4180abdaf81394daa57a969cd7b89cd97ba0793342,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=39.68",no
main__mixed_complex__MAPPO__seed6,main,MAPPO,mixed_complex,6,100,20,85,checkpoints/MAPPO/mixed_complex/seed6_ep85.pt,be0fc729bb8d0d485bb80c427b94aecfdfb3c2bde20e06ada2f436a88984e96a,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=40.38",no
main__mixed_complex__MAPPO__seed7,main,MAPPO,mixed_complex,7,100,20,90,checkpoints/MAPPO/mixed_complex/seed7_ep90.pt,eab3d77c6f40495132dedf0d69ec50ff214661db19ef84577a7df6302eab57ca,10bd6134d1956b59ae9f946801ced612b270f924,a15ec6ff235901b1692c7cf9dbd2346970be0864d8b509cdf162d5443047cac2,"completed=4,collision=0,timeout=0,deadlock=0,completion=39.70",no
main__static_clutter__MADDPG-style__seed0,main,MADDPG-style,static_clutter,0,100,20,85,checkpoints/MADDPG-style/static_clutter/seed0_ep85.pt,265e89e44b989dc8a332a4791c1d4edc3c47ad009cce9068ca2f8c1e544878bc,10bd6134d1956b59ae9f946801ced612b270f924,578d09fe08dd07cde7981c884d7bc11ea81fcbc5722bc41604d547bdffa3117d,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.23",no
main__static_clutter__MADDPG-style__seed1,main,MADDPG-style,static_clutter,1,100,20,95,checkpoints/MADDPG-style/static_clutter/seed1_ep95.pt,aee990dc0ea64b2a5f68ad07aed8a5ea50dea95bc4d99078f5ad6f301644c905,10bd6134d1956b59ae9f946801ced612b270f924,578d09fe08dd07cde7981c884d7bc11ea81fcbc5722bc41604d547bdffa3117d,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.47",no
main__static_clutter__MADDPG-style__seed2,main,MADDPG-style,static_clutter,2,100,20,80,checkpoints/MADDPG-style/static_clutter/seed2_ep80.pt,8d50d5990df7d0ef7138b722e2cd761cb2dffb6adbf1f051db41adad6fa0f010,10bd6134d1956b59ae9f946801ced612b270f924,578d09fe08dd07cde7981c884d7bc11ea81fcbc5722bc41604d547bdffa3117d,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.42",no
main__static_clutter__MADDPG-style__seed3,main,MADDPG-style,static_clutter,3,100,20,90,checkpoints/MADDPG-style/static_clutter/seed3_ep90.pt,b5e23d8162fb227f99bf3a99a5e0591ae6bddc2da5b83952399efeb2cbec6b21,10bd6134d1956b59ae9f946801ced612b270f924,578d09fe08dd07cde7981c884d7bc11ea81fcbc5722bc41604d547bdffa3117d,"completed=4,collision=0,timeout=0,deadlock=0,completion=30.07",no
main__static_clutter__MADDPG-style__seed4,main,MADDPG-style,static_clutter,4,100,20,95,checkpoints/MADDPG-style/static_clutter/seed4_ep95.pt,3de4efe35506de3c921c6d0844c76d3ec51075f53bc30cc62b81b95825d499dd,10bd6134d1956b59ae9f946801ced612b270f924,578d09fe08dd07cde7981c884d7bc11ea81fcbc5722bc41604d547bdffa3117d,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.20",no
main__static_clutter__MADDPG-style__seed5,main,MADDPG-style,static_clutter,5,100,20,95,checkpoints/MADDPG-style/static_clutter/seed5_ep95.pt,b18fa14f7a04693e3e892422a03c1606401a1b19bc238230d073cfdb317f53c6,10bd6134d1956b59ae9f946801ced612b270f924,578d09fe08dd07cde7981c884d7bc11ea81fcbc5722bc41604d547bdffa3117d,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.62",no
main__static_clutter__MADDPG-style__seed6,main,MADDPG-style,static_clutter,6,100,20,85,checkpoints/MADDPG-style/static_clutter/seed6_ep85.pt,610379e1059e7fb271a6fd193f910ee4a566658aefff59646b2b377b9d608819,10bd6134d1956b59ae9f946801ced612b270f924,578d09fe08dd07cde7981c884d7bc11ea81fcbc5722bc41604d547bdffa3117d,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.30",no
main__static_clutter__MADDPG-style__seed7,main,MADDPG-style,static_clutter,7,100,20,85,checkpoints/MADDPG-style/static_clutter/seed7_ep85.pt,c738af6d3e69b215243d37883e031bfe13257a76895d86e02874959facc4aa79,10bd6134d1956b59ae9f946801ced612b270f924,578d09fe08dd07cde7981c884d7bc11ea81fcbc5722bc41604d547bdffa3117d,"completed=4,collision=0,timeout=0,deadlock=0,completion=29.27",no
main__dynamic_pedestrians__MADDPG-style__seed0,main,MADDPG-style,dynamic_pedestrians,0,100,20,95,checkpoints/MADDPG-style/dynamic_pedestrians/seed0_ep95.pt,22ba23afb82dd8ade0b6717a95e954dfced88a7275649ffa84ea24636e9fc8e4,10bd6134d1956b59ae9f946801ced612b270f924,578d09fe08dd07cde7981c884d7bc11ea81fcbc5722bc41604d547bdffa3117d,"completed=4,collision=0,timeout=0,deadlock=0,completion=26.58",no
