run_id,trace_episode_id,scenario,method,training_seed,evaluation_episode_index,evaluation_seed,robot_random_seed,pedestrian_random_seed,step_index,t_s,record_type,robot_id,x_m,y_m,yaw_rad,vx_m_s,vy_m_s,omega_rad_s,final_goal_x,final_goal_y,residual_vx_m_s,residual_vy_m_s,residual_omega_rad_s,pair_i,pair_j,relative_x_m,relative_y_m,relative_vx_m_s,relative_vy_m_s,tau_CPA_s,d_CPA_m,edge_active,gate_value,active_neighbor_count,priority_state,source
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,3,0.30000000000000004,robot_state,robot_3,6.032019622359139,6.026263839106782,,0.1190686540697615,-0.021037536192135393,-0.14528704905529166,-6.0,-6.0,0.0,0.0,0.0,,,,,,,,,,,,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,3,0.30000000000000004,gate_state,robot_3,,,,,,,,,,,,,,,,,,,,,0.0,0,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,3,0.30000000000000004,robot_state,robot_4,5.943343296414134,-5.9563147018933025,,0.039274050808869476,0.09798659786027704,0.1452870442606578,-6.0,6.0,0.0,-0.0,0.0,,,,,,,,,,,,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,3,0.30000000000000004,gate_state,robot_4,,,,,,,,,,,,,,,,,,,,,0.0,0,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,4,0.4,robot_state,robot_1,-5.975908487256423,5.993631757507224,,0.1314732143565785,0.18011751944933152,0.28351406790031786,6.0,-6.0,8.642469765618443e-05,-0.0,0.0,,,,,,,,,,,,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,4,0.4,gate_state,robot_1,,,,,,,,,,,,,,,,,,,,,0.0,0,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,4,0.4,robot_state,robot_2,-5.911522948420474,-6.031525194689385,,0.14743894156114246,-0.17491526036375804,-0.28351411586549313,6.0,6.0,0.0,-0.0,0.0,,,,,,,,,,,,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,4,0.4,gate_state,robot_2,,,,,,,,,,,,,,,,,,,,,0.0,0,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,4,0.4,robot_state,robot_3,6.009754180182573,6.006486371961206,,0.21933439703741953,-0.034451456197914884,-0.214823862818013,-6.0,-6.0,0.0,0.0,0.0,,,,,,,,,,,,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,4,0.4,gate_state,robot_3,,,,,,,,,,,,,,,,,,,,,0.0,0,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,4,0.4,robot_state,robot_4,5.922416296940599,-5.9701125122183205,,0.057566157816847735,0.1747733784178227,0.2835140514631395,-6.0,6.0,0.0,-0.0,0.0,,,,,,,,,,,,proceed,runtime_logged
mechanism_mixed_complex_s1_q0_e10200_605babe8a6e1a621,mixed_complex_s1_q0,mixed_complex,mo_gat_mappo,1,0,10200,10200030600,10200030697,4,0.4,gate_state,robot_4,,,,,,,,,,,,,,,,,,,,,0.0,0,proceed,runtime_logged
